PC,IIN,EIN
0.16784611640741262,0.16784611640741262,0.16784611640741262
0.16784611640741262,0.16784611640741262,0.16784611640741262
0.22966037500272735,0.18539858446415952,0.24924982912439408
0.0006302340488231323,0.029919195618309743,0.00015667172603281207
5.0,4.999999989469746,5.0
0.0,2.83223007317236e-122,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
5.0,5.0,5.0
0.0,0.0,0.0
